0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2198,1903,1645,1820,2155,2236,1920,1662,1824,2150,2222,1919,1675,1840,2134,2201,1905,1639,1803,2123,2226,1916,1663,1823,2129,2197,1904,1634,1773,2081,2160,1872,1621,1809,2129,2202,1897,1633,1811,2122,2205,1903,1648,1790,2105,2192,1904,1653,1804,2111,2190,1895,1648,1805,2123,2195,1897,1646,1795,2107,2196,1904,1648,1807,2126,2202,1895,1635,1799,2129,2227,1921,1641,1776,2096,2182,1886,1639,1797,2137,2237,1927,1657,1808,2128,2229,1920,1648,1789,2113,2226,1930,1648,1795,UP
2119,2206,1891,1618,1770,2105,2213,1911,1648,1789,2120,2224,1902,1625,1776,2121,2238,1937,1648,1779,2113,2228,1920,1644,1787,2125,2230,1926,1648,1773,2112,2230,1922,1633,1766,2106,2230,1936,1665,1792,2124,2249,1947,1679,1809,2133,2249,1954,1680,1798,2114,2231,1937,1648,1762,2095,2224,1937,1659,1773,2099,2229,1936,1665,1797,2123,2255,1953,1655,1760,2097,2244,1963,1674,1770,2096,2224,1934,1649,1771,2109,2247,1956,1664,1778,2128,2255,1953,1648,1757,2102,2240,1943,1648,1762,2114,2268,1978,1679,1774,2112,2270,1986,1680,1763,2098,2253,1968,1676,1775,2112,2259,1975,1683,1776,2112,2263,1968,1671,1776,2116,2259,1967,1675,1769,2113,2269,1980,1675,1744,2091,2265,1993,1680,1754,2096,2270,2000,1689,1757,2100,2275,1999,1697,1768,2106,2277,2004,1705,1765,2085,2253,1983,1691,1777,2118,2287,1994,1659,1714,2047,2224,1953,1642,1712,2066,2258,1987,1681,1750,2097,2274,2000,1682,1746,2097,2295,2027,1712,1761,2095,2277,2007,1686,1743,2081,2256,1991,1691,1753,2102,2288,2012,1695,1746,2096,2285,2026,1702,1741,UP
2084,2276,2019,1697,1730,2062,2256,2001,1683,1730,2069,2277,2032,1708,1730,2065,2261,2006,1689,1733,2088,2279,1985,1642,1698,2069,2283,2055,1743,1786,2139,2352,2112,1795,1845,2208,2418,2161,1817,1847,2211,2432,2190,1857,1875,2215,2415,2167,1845,1862,2192,2386,2143,1813,1821,2141,2342,2103,1785,1787,2105,2298,2044,1713,1728,2075,2302,2059,1712,1721,2063,2269,2032,1667,1680,2019,2253,2021,1686,1680,2032,2241,2011,1679,1667,2007,2225,2000,1661,1671,1997,2239,1997,1692,1676,1997,2237,2007,1677,1664,1991,2253,2001,1671,1653,1989,2222,2001,1680,1672,1994,2223,1997,1684,1683,2026,2245,2004,1659,1641,1975,2224,2004,1680,1677,2023,2266,2038,1696,1661,1989,2224,2001,1680,1665,2000,2237,2015,1675,1646,1979,2215,1993,1649,1626,1960,2203,1997,1666,1628,1953,2206,2000,1663,1617,1963,2210,1998,1662,1632,1958,2202,1994,1662,1616,1958,2214,2003,1671,1631,1962,2207,2005,1680,1635,1968,2217,2004,1680,1634,1968,2227,2038,1698,1647,1963,2210,2015,1681,1635,1952,2184,1979,1667,1648,1983,2224,2032,1711,1648,UP
1966,2195,1987,1648,1595,1937,2211,2023,1690,1625,1959,2229,2043,1713,1655,1985,2241,2064,1715,1653,1999,2263,2084,1718,1630,1947,2222,2047,1726,1659,1985,2247,2047,1707,1654,2000,2280,2112,1760,1674,1982,2251,2087,1749,1680,2003,2275,2095,1749,1667,1996,2267,2097,1763,1680,1999,2287,2131,1776,1670,1987,2255,2086,1745,1665,1977,2252,2097,1766,1680,1991,2267,2112,1765,1664,1983,2269,2128,1810,1706,2021,2294,2131,1783,1680,1996,2276,2134,1796,1696,2005,2276,2122,1779,1680,1999,2279,2128,1778,1675,1985,2269,2125,1791,1683,1994,2281,2146,1808,1693,1997,2287,2163,1817,1699,2000,2283,2139,1792,1687,2000,2288,2153,1804,1696,2000,2286,2154,1810,1685,1987,2279,2154,1808,1680,1983,2270,2146,1808,1691,1991,2281,2160,1825,1706,2003,2295,2171,1829,1698,1989,2274,2151,1802,1680,1984,2285,2173,1822,1690,1985,2288,2187,1841,1711,2010,2304,2189,1827,1681,1975,2276,2175,1831,1687,1979,2282,2170,1824,1681,1982,2282,2181,1841,1698,1991,2288,2186,1840,1699,1987,2285,2185,1843,1692,1977,2284,2201,1861,1715,UP
1995,2288,2192,1855,1715,2013,2319,2223,1868,1713,2003,2307,2223,1872,1713,1995,2301,2212,1861,1689,1968,2288,2202,1863,1709,1989,2304,2191,1843,1706,1987,2302,2213,1859,1699,1971,2256,2163,1798,1621,1936,2240,2198,1854,1675,1952,2241,2190,1855,1682,1966,2256,2182,1863,1686,1968,2282,2215,1877,1697,1965,2267,2217,1887,1709,1970,2271,2203,1867,1687,1951,2256,2197,1856,1679,1947,2259,2214,1872,1690,1968,2281,2237,1899,1703,1968,2283,2224,1872,1682,1949,2266,2224,1875,1680,1942,2256,2218,1869,1679,1941,2256,2213,1874,1674,1927,2245,2213,1881,1671,1931,2250,2211,1867,1661,1921,2238,2206,1861,1664,1922,2241,2213,1868,1666,1917,2234,2209,1864,1655,1911,2241,2221,1867,1632,1872,2194,2170,1840,1641,1886,2198,2182,1849,1639,1868,2195,2206,1875,1653,1902,2227,2218,1865,1646,1888,2218,2205,1853,1629,1867,2189,2171,1827,1611,1856,2179,2176,1830,1612,1846,2175,2175,1837,1616,1847,2160,2160,1833,1627,1872,2202,2191,1842,1618,1853,2181,2188,1843,1619,1840,2165,2187,1854,1621,1840,2154,2159,1822,1606,UP
1851,2182,2186,1840,1603,1823,2145,2162,1826,1604,1831,2153,2162,1827,1599,1824,2147,2168,1855,1641,1863,2179,2192,1850,1625,1851,2187,2214,1858,1611,1818,2148,2173,1827,1584,1803,2129,2161,1832,1599,1811,2153,2190,1843,1601,1805,2128,2172,1846,1615,1823,2159,2188,1841,1583,1776,2099,2142,1819,1586,1807,2134,2179,1858,1621,1830,2160,2197,1858,1613,1817,2154,2195,1857,1615,1815,2147,2189,1856,1607,1806,2142,2199,1863,1603,1787,2130,2192,1867,1614,1799,2129,2202,1877,1619,1805,2132,2192,1853,1596,1792,2131,2203,1867,1601,1790,2131,2203,1886,1625,1808,2147,2219,1884,1616,1796,2138,2220,1894,1619,1785,2118,2189,1872,1613,1789,2126,2198,1878,1618,1782,2112,2192,1872,1612,1781,2115,2199,1887,1625,1789,2112,2198,1892,1632,1795,2121,2209,1890,1642,1806,2128,2207,1886,1618,1787,2135,2241,1923,1646,1803,2142,2231,1909,1637,1791,2128,2234,1934,1662,1808,2143,2245,1926,1658,1808,2155,2244,1943,1665,1811,2118,2225,1946,1667,1826,2161,2255,1951,1674,1841,2181,2288,1986,1696,1867,2174,2275,1963,1687,UP
1829,2171,2288,1957,1686,1857,2185,2300,2003,1728,1858,2191,2301,1998,1728,1862,2185,2287,1977,1709,1842,2177,2290,1997,1722,1855,2199,2325,2027,1747,1882,2209,2331,2030,1732,1843,2167,2307,2019,1742,1858,2193,2322,2032,1746,1868,2203,2337,2055,1765,1879,2206,2339,2046,1754,1872,2202,2337,2055,1764,1872,2204,2350,2064,1771,1883,2224,2363,2065,1776,1879,2219,2363,2077,1779,1879,2213,2352,2062,1758,1852,2177,2320,2033,1751,1870,2221,2373,2096,1779,1856,2192,2357,2087,1789,1887,2218,2371,2086,1787,1879,2219,2371,2093,1789,1886,2228,2387,2112,1787,1858,2181,2338,2073,1783,1872,2202,2357,2090,1785,1872,2205,2371,2099,1798,1872,2193,2354,2094,1795,1863,2185,2343,2083,1794,1873,2194,2355,2078,1776,1841,2170,2337,2063,1745,1817,2160,2337,2064,1746,1804,2133,2306,2033,1742,1808,2133,2303,2034,1741,1793,2112,2290,2030,1729,1779,2094,2263,2002,1706,1776,2110,2273,2006,1712,1765,2078,2252,1990,1689,1744,2081,2261,1999,1687,1735,2064,2231,1966,1663,1712,2037,2224,1962,1655,1699,2025,2218,1959,1653,UP
1686,2003,2202,1954,1632,1651,1988,2192,1938,1638,1681,2005,2200,1943,1635,1667,1984,2179,1936,1627,1659,1995,2202,1947,1629,1657,1986,2183,1924,1619,1653,1981,2182,1932,1620,1647,1978,2181,1931,1616,1648,1966,2158,1919,1616,1632,1939,2129,1889,1600,1632,1964,2163,1914,1603,1616,1955,2165,1927,1613,1621,1950,2165,1935,1621,1622,1949,2162,1936,1618,1615,1936,2153,1922,1611,1616,1941,2162,1925,1611,1616,1947,2160,1936,1621,1619,1952,2171,1949,1635,1629,1958,2177,1947,1625,1611,1936,2163,1943,1620,1586,1922,2173,1959,1642,1619,1938,2173,1963,1647,1611,1922,2142,1936,1631,1607,1920,2142,1913,1599,1580,1902,2118,1895,1581,1559,1893,2128,1935,1616,1595,1904,2142,1921,1600,1584,1913,2154,1914,1610,1552,1905,2176,1933,1579,1553,1882,2114,1908,1607,1586,1907,2144,1936,1609,1572,1883,2130,1936,1616,1579,1897,2129,1933,1616,1577,1903,2141,1939,1615,1561,1873,2111,1925,1625,1579,1885,2134,1952,1620,1567,1887,2135,1947,1625,1573,1881,2132,1951,1618,1567,1879,2128,1939,1605,1535,1878,2128,1938,1610,UP
1535,1867,2126,1947,1619,1562,1883,2135,1959,1623,1553,1869,2133,1958,1632,1559,1866,2128,1965,1647,1572,1877,2134,1963,1631,1554,1869,2139,1973,1638,1554,1878,2158,1986,1661,1585,1905,2160,1993,1666,1585,1886,2147,1985,1662,1579,1886,2161,1999,1666,1584,1893,2163,2003,1680,1594,1899,2163,2001,1675,1579,1883,2147,1999,1674,1582,1885,2162,2009,1683,1591,1904,2175,2029,1698,1597,1898,2167,2028,1699,1602,1915,2182,2027,1695,1591,1904,2189,2039,1711,1599,1895,2177,2047,1716,1599,1902,2177,2055,1722,1606,1911,2191,2064,1739,1632,1934,2220,2090,1753,1623,1919,2208,2081,1735,1613,1905,2194,2070,1735,1621,1936,2225,2093,1744,1619,1919,2215,2102,1760,1626,1921,2201,2085,1750,1633,1915,2194,2083,1749,1634,1939,2235,2117,1767,1634,1931,2215,2103,1770,1630,1927,2226,2118,1775,1629,1917,2219,2128,1801,1646,1927,2208,2102,1779,1646,1925,2218,2114,1771,1626,1918,2207,2111,1765,1605,1887,2180,2096,1770,1619,1909,2218,2127,1789,1639,1920,2225,2143,1803,1651,1935,2222,2126,1789,1644,1938,2253,2164,1818,UP
1667,1942,2241,2163,1821,1652,1918,2219,2149,1824,1664,1949,2260,2185,1840,1675,1947,2238,2154,1823,1661,1943,2246,2170,1826,1664,1941,2246,2173,1835,1663,1936,2247,2176,1830,1653,1925,2224,2160,1818,1648,1915,2219,2161,1834,1655,1923,2237,2179,1840,1661,1923,2224,2163,1822,1662,1936,2240,2177,1830,1637,1907,2222,2171,1839,1663,1933,2239,2178,1841,1659,1923,2234,2191,1850,1667,1919,2225,2173,1831,1671,1895,2216,2189,1860,1659,1916,2218,2167,1838,1663,1942,2240,2164,1833,1622,1877,2225,2171,1854,1665,1898,2220,2181,1840,1648,1909,2224,2183,1853,1638,1894,2217,2191,1847,1650,1916,2224,2186,1835,1647,1904,2221,2194,1859,1648,1895,2214,2197,1856,1647,1890,2197,2183,1855,1653,1897,2212,2198,1856,1644,1895,2224,2198,1857,1646,1891,2209,2199,1862,1662,1903,2214,2189,1843,1637,1882,2207,2198,1865,1652,1884,2207,2205,1872,1654,1886,2209,2203,1862,1648,1879,2207,2219,1874,1651,1877,2199,2203,1861,1638,1870,2192,2193,1858,1639,1861,2179,2192,1867,1645,1867,2189,2207,1871,1643,1863,2189,2203,1873,UP
